ID,TITLE,DOI,WEB,Result_ID_WEB,Discussion_ID_WEB,Result_Content,Discussion_Content
232756,"""Learning auditory discriminations from observation is efficient but less robust than learning from experience""","""10.1038/s41467-018-05422-y""",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6089935/,Sec2,Sec9,-,-
1789181,"""A Spiking Neural Network Framework for Robust Sound Classification""","""10.3389/fnins.2018.00836""",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6252336/,s3,s4,-,-
271920,"""Learning and processing of nonverbal symbolic information in bilinguals and monolinguals""","""10.3389/fpsyg.2014.01147""",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4199272/,s3,s4,-,-
2617564,"""Efficient Coding and Statistically Optimal Weighting of Covariance among Acoustic Attributes in Novel Sounds""","""10.1371/journal.pone.0030845""",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3264631/,s3,s4,-,-
1911559,"""Incidental learning in a multisensory environment across childhood""","""10.1111/desc.12554""",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5873275/,desc12554-sec-0010,desc12554-sec-0018,-,-
271124,"""Training Children to Perceive Non-native Lexical Tones: Tone Language Background Bilingualism and Auditory-Visual Information""","""10.3389/fpsyg.2018.01508""",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6131621/,s4,s5,-,-
1303382,"""Psychophysical Estimates of Frequency Discrimination: More than Just Limitations of Auditory Processing""","""10.3390/brainsci3031023""",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4061867/,__sec3,__sec9,-,-
2521573,"""Mismatch Response to Polysyllabic Nonwords: A Neurophysiological Signature of Language Learning Capacity""","""10.1371/journal.pone.0006270""",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2707009/,s2,s3,-,-
2562735,"""Distributional Vowel Training Is Less Effective for Adults than for Infants. A Study Using the Mismatch Response""","""10.1371/journal.pone.0109806""",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4188590/,s3,s4,-,-
1695972,"""Human Brainstem Exhibits higher Sensitivity and Specificity than Auditory-Related Cortex to Short-Term Phonetic Discrimination Learning""",10.1038/s41598-017-07426-y,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5547112/,Sec2,Sec10,-,-
