type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
bm25,0.8088,0.8335,0.8412,0.8442,0.8459,0.8472,0.8487,0.85,0.8505,0.851,0.8513,0.8516,0.8518,0.8521,0.8522,0.8524,0.8525,0.8525,0.8526,0.8527
bm25_and_10,0.8068,0.8331,0.8389,0.8428,0.8446,0.846,0.8478,0.8492,0.8499,0.8504,0.8506,0.8509,0.8511,0.8515,0.8515,0.8516,0.8517,0.852,0.8522,0.8524
bm25_and_7,0.8023,0.8281,0.8356,0.8401,0.8425,0.8438,0.8456,0.8467,0.8474,0.848,0.8486,0.8488,0.8492,0.8497,0.8499,0.8503,0.8504,0.851,0.8512,0.8514
bm25_and_5,0.7959999999999999,0.8229,0.8327,0.8366,0.8393,0.8411,0.8419,0.8428,0.8435,0.8442,0.8453,0.8456,0.8461,0.8465,0.8471,0.8472,0.8473,0.8477,0.8479,0.848
bm25_and_3,0.7558,0.784,0.7909999999999999,0.7943,0.7975,0.7989,0.8003,0.8014,0.8023,0.8029999999999999,0.8035,0.804,0.8045,0.8051,0.8053,0.8055,0.8056,0.8058,0.8059999999999999,0.8059999999999999
sent2vec_and_3,0.7532,0.8029,0.8176,0.8278,0.833,0.8358,0.8373,0.8381,0.8393,0.8407,0.8412,0.8415,0.8421,0.8427,0.8432,0.8434,0.8439,0.8443,0.8445,0.8445
sent2vec_and_5,0.7471,0.8004,0.8178,0.8284,0.8335,0.8378,0.8404,0.8421,0.8438,0.8454,0.8466,0.8472,0.848,0.8488,0.8493,0.8499,0.8504,0.8513,0.8516,0.8517
sent2vec_and_7,0.7449,0.7982,0.8155,0.8265,0.8321,0.8368,0.8397,0.8417,0.8432,0.845,0.8459,0.8469,0.8477,0.8484,0.8489,0.8497,0.8501,0.8508,0.8513,0.8517
sent2vec_and_10,0.7441,0.7973,0.8142,0.8255,0.8312,0.836,0.8391,0.8415,0.8431,0.8448,0.8454,0.8464,0.8473,0.848,0.8484,0.8493,0.85,0.8508,0.8513,0.8517
sent2vec,0.7440000000000001,0.7971,0.8140000000000001,0.8252,0.831,0.8355,0.8389,0.8414,0.8428,0.8446,0.8453,0.8464,0.8472,0.8478,0.8482,0.8491,0.8497,0.8505,0.8511,0.8516
sent2vec_or_3,0.4978,0.5052,0.5068,0.5071,0.5071,0.5073,0.5073,0.5074,0.5076,0.5077,0.5077,0.5078,0.5078,0.5078,0.5079,0.5079,0.508,0.508,0.5081,0.5081
sent2vec_or_5,0.34600000000000003,0.349,0.3493,0.3494,0.3494,0.3495,0.3495,0.3495,0.3497,0.3498,0.3499,0.35,0.35,0.3501,0.3502,0.3502,0.3503,0.3503,0.3504,0.3504
sent2vec_or_7,0.2402,0.2418,0.242,0.2421,0.2421,0.2422,0.2422,0.2422,0.2424,0.2426,0.2427,0.2428,0.2428,0.2429,0.243,0.2431,0.2432,0.2432,0.2433,0.2433
sent2vec_or_10,0.161,0.1619,0.162,0.1621,0.1621,0.1622,0.1623,0.1623,0.1625,0.1627,0.1628,0.1629,0.1629,0.163,0.1631,0.1632,0.1633,0.1633,0.1634,0.1634
bm25_or_3,0.0189,0.0205,0.021,0.0211,0.0211,0.0212,0.0213,0.0214,0.0216,0.0217,0.0217,0.0218,0.0219,0.022000000000000002,0.0221,0.0221,0.0222,0.0222,0.0223,0.0223
bm25_or_5,0.0017,0.0019,0.0021,0.0022,0.0022,0.0023,0.0024,0.0025,0.0027,0.0028,0.0029,0.003,0.0031,0.0033,0.0034,0.0034,0.0035,0.0035,0.0036,0.0036
bm25_or_7,0.0009,0.0011,0.0012,0.0013,0.0013,0.0014,0.0015,0.0016,0.0018,0.002,0.0021,0.0022,0.0023,0.0025,0.0026,0.0027,0.0028,0.0028,0.0029,0.0029
bm25_or_10,0.0006,0.0007,0.0008,0.0009,0.0009,0.001,0.0012,0.0013,0.0015,0.0017,0.0018,0.0019,0.002,0.0022,0.0023,0.0024,0.0025,0.0025,0.0026,0.0026
